,,,,耗材/藥品庫存表,,,,,,,,,,,,,,,,,,,,,現在時間,2026/3/5 16:47,
分類,,,,,"安全
庫存",日期,,,,上月,,,,,,,,,,,本月,,,,60天內過期,2026/5/4 16:47,
請購,存放區,項目,細項,品名,數量,單位,規格,廠商,總量,大倉總量,有效期限,,,,,,,,,,本月大倉庫存總量,上月大倉使用量,盤點,提醒,最新效期,過期警示(期限低於60天),備註
請叫貨,,藥品,止痛藥,meloxicam (艾菲),50,支,50安瓶/盒，1.6 ml/安瓶,瑞士藥廠,10,80,2028/3/30,2026/3/5,-70,,,,,,,,10,-70,,,2028/3/30, ,
-,,藥品,驅蟲,易滅蟲,1,瓶,100ml/瓶,中化製藥,10,10,2027/9/27,,,,,,,,,,10,0,,,2027/9/27, ,
-,,藥品,抗生素,讚配尼,5,瓶,100 ml/瓶，10瓶/盒,中化製藥,12,12,2027/7/18,,,,,,,,,,12,0,,,2027/7/18, ,
-,,藥品,抗生素,Gentamicin,25,瓶,25瓶/盒 20ml/瓶,永信藥品,156,156,2021/2/1,,,,,,,,,,156,0,,,2021/2/1,已過期或即將過期,
-,,藥品,抗生素,Kalicin-250,6,瓶,100 ml/瓶，12瓶/盒,永信藥品,12,12,2023/9/1,,,,,,,,,,12,0,,,2023/9/1,已過期或即將過期,
-,,藥品,抗生素,cefazolin,50,瓶,1 g/瓶，50瓶/盒,信東,100,100,2028/8/15,,,,,,,,,,100,0,,,2028/8/15, ,
-,,藥品,抗生素,Grantlife(賜來富),1,瓶,100 mL/瓶，12瓶/盒,永信藥品,5,8,2024/6/8,2026/3/5,-3,,,,,,,,5,-3,,,2024/6/8,已過期或即將過期,
請叫貨,,藥品,抗生素,Cephalexin,500,顆,500mg/顆 1000 顆/瓶,信東,500,500,2026/10/22,,,,,,,,,,500,0,,,2026/10/22, ,
-,,藥品,抗生素,Amoxicillin,500,顆,500mg/顆 1000 顆/瓶,信東,2100,2100,2026/4/23,,,,,,,,,,2100,0,,,2026/4/23,已過期或即將過期,
-,,藥品,注射液,俾爾使寧,10,支,50支/盒,安星製藥,29,29,2021/2/3,,,,,,,,,,29,0,,,2021/2/3,已過期或即將過期,
請叫貨,,藥品,藥膏,優碘軟膏,3,罐,450 gm/罐,杏輝製藥,3,3,2020/5/20,,,,,,,,,,3,0,,,2020/5/20,已過期或即將過期,
-,,藥品,藥膏,康膚(燙傷藥膏),3,罐,500 gm/罐,溫士頓,4,4,2019/9/5,,,,,,,,,,4,0,,,2019/9/5,已過期或即將過期,
-,,藥品,藥膏,鹽酸四環素,10,條,5g/條，120條/盒,溫士頓,37,35,2027/1/29,2026/3/5,2,,,,,,,,37,0,,,2027/1/29, ,
-,,藥品,藥膏,抗耐黴素眼藥膏,10,條,3.5g/條，50條/盒,,17,17,2020/10/22,,,,,,,,,,17,0,,,2020/10/22,已過期或即將過期,
請叫貨,,藥品,藥膏,紅黴素眼藥膏,10,條,,,9,9,2021/1/15,,,,,,,,,,9,0,,,2021/1/15,已過期或即將過期,
請叫貨,,藥品,藥水,易滅蟲澆滴劑0.5%,1,瓶,1000ml/瓶,中化製藥,1,1,2024/9/27,,,,,,,,,,1,0,,,2024/9/27,已過期或即將過期,
-,,藥品,藥水,金碘藥水,1,桶,3.8 L/桶,杏輝製藥,2,3,2021/10/21,2026/3/2,-1,,,,,,,,2,-1,,,2021/10/21,已過期或即將過期,
-,,藥品,藥水,金碘擦洗液,2,桶,1 gallon/桶,杏輝製藥,11,11,2021/12/15,,,,,,,,,,11,0,,,2021/12/15,已過期或即將過期,
-,,藥品,藥水,金碘酒精液,1,桶,3.8 L/桶,杏輝製藥,5,5,2024/1/23,,,,,,,,,,5,0,,,2024/1/23,已過期或即將過期,
-,,藥品,藥水,克菌寧殺菌潔淨液2%,2,桶,4L/桶,寶齡富錦生技,4,4,2025/5/26,,,,,,,,,,4,0,,,2025/5/26,已過期或即將過期,
-,,藥品,消毒用,TH4+,2,瓶,5 L/瓶，4瓶/箱,雋亞國際,3,3,2028/1/30,,,,,,,,,,3,0,,,2028/1/30, ,
-,,藥品,消毒用,衛可,2,瓶,2.5 kg/瓶，6瓶/箱,有泉,20,21,2026/5/30,2026/3/5,-1,,,,,,,,20,-1,,,2026/5/30, ,
-,,藥品,消毒用,漂白水,1,瓶,5 L/瓶,高士奇,11,11,2025/10/16,,,,,,,,,,11,0,,,2025/10/16,已過期或即將過期,
請叫貨,,藥品,消毒用,百喜,2,瓶,5 L/瓶,Zoteil,1,1,2026/3/30,,,,,,,,,,1,0,,,2026/3/30,已過期或即將過期,
